service_type,business_sphere,monthly_budget,has_experience,segments_count,marketing_source,form_completion_time,day_of_week,time_of_day,converted
"SERM (управление репутацией)","Услуги для населения (B2C)","от 200к рублей",0,3,"Контекстная или таргетированная реклама",505,2,13,0
"Зарубежное SEO","Туризм и гостиницы","от 30к до 50к рублей",1,2,"Поиск в Google/Yandex",460,2,9,0
Контент-поддержка,Другое,"от 200к до 400к рублей",1,2,"Поиск в Google/Yandex",283,6,9,0
Контент-поддержка,"Услуги для населения (B2C)","от 250к до 500к рублей",0,1,"Поиск в Google/Yandex",360,2,14,0
SEO-продвижение,Другое,"от 40к до 100к рублей",0,1,Рекомендация,322,4,11,0
Веб-аналитика,Образование,"от 200к до 400к рублей",1,2,"Контекстная или таргетированная реклама",250,6,17,0
Перформанс-маркетинг,Образование,"от 40к до 100к рублей",0,1,"Контекстная или таргетированная реклама",131,1,10,0
"Зарубежное SEO",Недвижимость,"от 50к до 100к рублей",0,1,"Поиск в Google/Yandex",234,2,15,0
Веб-аналитика,"Туризм и гостиницы","от 500к до 1 млн рублей",1,3,"Социальные сети",123,3,17,1
"Контекстная реклама","Туризм и гостиницы","от 30к до 50к рублей",1,2,"Контекстная или таргетированная реклама",485,1,13,0
Перформанс-маркетинг,"Услуги для населения (B2C)","от 250к до 500к рублей",0,1,"Контекстная или таргетированная реклама",439,2,14,0
SEO-продвижение,Интернет-магазин,"от 250к до 500к рублей",0,1,"Социальные сети",266,0,14,0
Перформанс-маркетинг,"Услуги для бизнеса (B2B)","от 400к рублей",0,1,"Контекстная или таргетированная реклама",243,4,10,0
GEO-продвижение,"Услуги для бизнеса (B2B)","от 250к до 500к рублей",1,1,Рекомендация,235,2,12,1
"Зарубежное SEO",Производство,"от 50к до 100к рублей",0,1,Рекомендация,199,0,15,0
Аутстафф,"Услуги для бизнеса (B2B)","от 1 млн рублей",1,3,"Контекстная или таргетированная реклама",162,3,16,1
"Контекстная реклама",Медицина,"от 200к рублей",0,1,"Поиск в Google/Yandex",480,6,16,0
Аутстафф,Образование,"от 40к до 100к рублей",0,1,"Контекстная или таргетированная реклама",455,0,18,0
Контент-поддержка,Недвижимость,"от 100к до 250к рублей",1,2,Рекомендация,404,6,10,1
"SERM (управление репутацией)",Интернет-магазин,"от 50к до 100к рублей",1,2,"Социальные сети",447,1,14,0
SEO-продвижение,Недвижимость,"от 200к рублей",0,1,"Социальные сети",301,0,11,0
SEO-продвижение,Недвижимость,"от 200к до 400к рублей",1,1,Рекомендация,96,6,14,1
Аутстафф,Образование,"от 250к до 500к рублей",0,2,"Контекстная или таргетированная реклама",538,5,17,0
SEO-продвижение,Интернет-магазин,"от 200к до 400к рублей",1,1,"Контекстная или таргетированная реклама",495,2,9,0
"Контекстная реклама",Интернет-магазин,"от 400к рублей",1,3,"Контекстная или таргетированная реклама",545,6,14,0
Веб-аналитика,Образование,"от 200к до 400к рублей",1,1,Рекомендация,286,6,9,1
"SERM (управление репутацией)","Услуги для населения (B2C)","от 100к до 200к рублей",0,3,Рекомендация,415,4,9,0
GEO-продвижение,"Услуги для населения (B2C)","от 100к до 250к рублей",0,1,"Контекстная или таргетированная реклама",177,3,18,0
"Контекстная реклама",Строительство,"от 500к до 1 млн рублей",1,1,Рекомендация,93,1,13,1
GEO-продвижение,"Туризм и гостиницы","от 50к до 100к рублей",0,3,"Контекстная или таргетированная реклама",207,6,13,0
"SERM (управление репутацией)",Недвижимость,"от 40к до 100к рублей",1,2,"Поиск в Google/Yandex",374,0,9,0
Перформанс-маркетинг,Производство,"от 40к до 100к рублей",0,3,"Поиск в Google/Yandex",249,3,17,0
"Контекстная реклама","Услуги для бизнеса (B2B)","от 400к рублей",1,1,Рекомендация,83,5,12,1
GEO-продвижение,Медицина,"от 1 млн рублей",0,2,"Социальные сети",568,6,16,0
Аутстафф,"Туризм и гостиницы","от 40к до 100к рублей",0,2,Рекомендация,479,6,17,0
"SERM (управление репутацией)","Услуги для населения (B2C)","от 400к рублей",1,2,"Социальные сети",300,4,18,0
Перформанс-маркетинг,Образование,"от 200к рублей",0,3,Рекомендация,160,2,15,1
GEO-продвижение,"Услуги для бизнеса (B2B)","от 100к до 250к рублей",1,3,"Социальные сети",251,2,17,0
"Зарубежное SEO",Недвижимость,"от 200к до 400к рублей",1,3,Рекомендация,198,1,9,1
Аутстафф,Другое,"от 200к рублей",0,1,"Социальные сети",561,4,12,0
