service_type,business_sphere,monthly_budget,has_experience,segments_count,marketing_source,form_completion_time,day_of_week,time_of_day,converted
SEO-продвижение,Услуги для населения (B2C),от 100к до 200к рублей,1,2,Поиск в Google/Yandex,277,6,13,0
Зарубежное SEO,Производство,от 400к рублей,1,3,Социальные сети,530,5,11,1
Контекстная реклама,Туризм и гостиницы,от 400к рублей,0,1,Рекомендация,363,2,16,0
SERM (управление репутацией),Услуги для населения (B2C),от 100к до 250к рублей,1,1,Рекомендация,155,5,14,1
Веб-аналитика,Услуги для населения (B2C),от 100к до 250к рублей,0,3,Социальные сети,452,5,10,0
Контекстная реклама,Услуги для населения (B2C),от 500к до 1 млн рублей,0,1,Контекстная или таргетированная реклама,410,3,14,0
Веб-аналитика,Медицина,от 500к до 1 млн рублей,0,2,Поиск в Google/Yandex,521,3,13,0
Контекстная реклама,Производство,от 400к рублей,1,2,Контекстная или таргетированная реклама,530,7,12,0
Аутстафф,Туризм и гостиницы,от 50к до 100к рублей,0,2,Рекомендация,534,1,16,0
Зарубежное SEO,Интернет-магазин,от 50к до 100к рублей,1,2,Социальные сети,336,5,10,0
Веб-аналитика,Другое,от 200к до 400к рублей,0,3,Рекомендация,490,1,10,0
Контент-поддержка,Строительство,от 100к до 250к рублей,1,2,Поиск в Google/Yandex,93,3,11,1
Контекстная реклама,Недвижимость,от 100к до 250к рублей,1,1,Контекстная или таргетированная реклама,389,2,16,0
SEO-продвижение,Туризм и гостиницы,от 200к рублей,0,2,Рекомендация,444,6,17,0
Зарубежное SEO,Недвижимость,от 500к до 1 млн рублей,1,2,Контекстная или таргетированная реклама,490,4,16,1
Контекстная реклама,Услуги для бизнеса (B2B),от 1 млн рублей,0,3,Контекстная или таргетированная реклама,404,2,12,1
SERM (управление репутацией),Строительство,от 250к до 500к рублей,0,2,Рекомендация,90,5,12,1
Аутстафф,Услуги для бизнеса (B2B),от 30к до 50к рублей,1,3,Контекстная или таргетированная реклама,565,5,18,0
SEO-продвижение,Производство,от 500к до 1 млн рублей,0,1,Поиск в Google/Yandex,87,3,15,1
GEO-продвижение,Интернет-магазин,от 250к до 500к рублей,1,3,Поиск в Google/Yandex,115,5,16,1
Веб-аналитика,Медицина,от 400к рублей,1,1,Социальные сети,432,5,15,0
Контент-поддержка,Услуги для населения (B2C),от 40к до 100к рублей,0,2,Контекстная или таргетированная реклама,125,2,16,0
Зарубежное SEO,Услуги для населения (B2C),от 50к до 100к рублей,0,1,Контекстная или таргетированная реклама,257,1,18,0
GEO-продвижение,Туризм и гостиницы,от 100к до 250к рублей,0,1,Поиск в Google/Yandex,181,4,9,0
Перформанс-маркетинг,Услуги для бизнеса (B2B),от 30к до 50к рублей,1,3,Поиск в Google/Yandex,374,5,14,1
Веб-аналитика,Производство,от 200к до 400к рублей,0,2,Рекомендация,557,2,9,0
Перформанс-маркетинг,Туризм и гостиницы,от 30к до 50к рублей,0,3,Поиск в Google/Yandex,392,5,11,0
